"site","ent","sitio","red","red_name","cve_ent","nom_ent","cve_mun","nom_mun","cve_sun","nom_sun","pob_2018","cve_loc","nom_loc","entidad"
"SAG","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15033","Ecatepec de Morelos","M09.01","Valle de México",1818938.94493,NA,NA,"Estado de México"
"SFE","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09004","Cuajimalpa de Morelos","M09.01","Valle de México",192823.00697,NA,NA,"Ciudad de México"
"SJA","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09005","Gustavo A. Madero","M09.01","Valle de México",1157758.00786,NA,NA,"Ciudad de México"
"SUR","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09003","Coyoacán","M09.01","Valle de México",604363.98988,NA,NA,"Ciudad de México"
"TAC","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09016","Miguel Hidalgo","M09.01","Valle de México",377352.01766,NA,NA,"Ciudad de México"
"TAH","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09011","Tláhuac","M09.01","Valle de México",365942.97613,NA,NA,"Ciudad de México"
"TAX","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09003","Coyoacán","M09.01","Valle de México",604363.98988,NA,NA,"Ciudad de México"
"TLA","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15104","Tlalnepantla de Baz","M09.01","Valle de México",719304.02296,NA,NA,"Estado de México"
"TLI","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15109","Tultitlán","M09.01","Valle de México",616254.55397,NA,NA,"Estado de México"
"TPN","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09012","Tlalpan","M09.01","Valle de México",667259.93616,NA,NA,"Ciudad de México"
"UAX","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09003","Coyoacán","M09.01","Valle de México",604363.98988,NA,NA,"Ciudad de México"
"UIZ","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09007","Iztapalapa","M09.01","Valle de México",1791658.21371,NA,NA,"Ciudad de México"
"VIF","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15020","Coacalco de Berriozábal","M09.01","Valle de México",304640.07779,NA,NA,"Estado de México"
"XAL","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15033","Ecatepec de Morelos","M09.01","Valle de México",1818938.94493,NA,NA,"Estado de México"
"CAM","Durango","Gomez Palacio","Gomez Palacio","Gomez Palacio","10","Durango","10007","Gómez Palacio","M05.01","La Laguna",364539.92898,NA,NA,"Durango"
"IPN","Durango","Durango","Durango","Durango","10","Durango","10005","Durango","M10.01","Durango",660663.44358,NA,NA,"Durango"
"ITD","Durango","Durango","Durango","Durango","10","Durango","10005","Durango","M10.01","Durango",660663.44358,NA,NA,"Durango"
"UJED","Durango","Gomez Palacio","Gomez Palacio","Gomez Palacio","10","Durango","10007","Gómez Palacio","M05.01","La Laguna",364539.92898,NA,NA,"Durango"
"SRN","Durango","Durango","Durango","Durango","10","Durango","10005","Durango","M10.01","Durango",660663.44358,NA,NA,"Durango"
"AJ","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15005","Almoloya de Juárez","M15.02","Toluca",177050.9749,NA,NA,"Estado de México"
"AP","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15106","Toluca","M15.02","Toluca",955654.16475,NA,NA,"Estado de México"
"CB","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15106","Toluca","M15.02","Toluca",955654.16475,NA,NA,"Estado de México"
"CE","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15106","Toluca","M15.02","Toluca",955654.16475,NA,NA,"Estado de México"
"MT","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15054","Metepec","M15.02","Toluca",242803.62018,NA,NA,"Estado de México"
"OX","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15106","Toluca","M15.02","Toluca",955654.16475,NA,NA,"Estado de México"
"SC","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15106","Toluca","M15.02","Toluca",955654.16475,NA,NA,"Estado de México"
"SL","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15106","Toluca","M15.02","Toluca",955654.16475,NA,NA,"Estado de México"
"SM","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15076","San Mateo Atenco","M15.02","Toluca",83992.0335,NA,NA,"Estado de México"
"XO","Estado de México","ZMVT","ZMVT","Valle de Toluca","15","México","15115","Xonacatlán","M15.02","Toluca",51508.90177,NA,NA,"Estado de México"
"BOM","Guanajuato","Irapuato","Irapuato","Irapuato","11","Guanajuato","11020","León","M11.03","León",1565633.32106,NA,NA,"Guanajuato"
